Courant,Temperature
13.30,28.30
13.33,28.01
13.30,27.81
13.30,27.62
13.33,27.42
13.33,27.22
13.30,27.02
13.33,27.02
13.33,26.73
13.33,26.83
13.33,26.73
13.30,26.53
13.33,26.53
13.33,26.43
13.30,26.33
13.33,27.02
13.33,26.13
13.33,26.13
13.33,26.03
13.30,25.93
13.30,25.93
13.30,25.83
13.28,25.74
13.33,25.74
13.35,25.54
13.30,25.44
13.33,25.93
13.33,25.64
13.33,25.54
13.33,25.34
13.33,25.03
13.33,24.73
13.30,24.83
13.30,25.03
13.30,25.54
13.33,24.83
13.33,25.44
13.33,25.13
13.33,24.43
13.30,24.02
